location_category,job_title_category,title,job_url,company,location,posted_date,salary
Raleigh NC,Software Engineer,Software Engineer 1,https://indeed.com/rc/clk?jk=8e085a2880e5bc2f&mtk=1gj8a832nmru1803&from=serp,"Garmin International, Inc.","Cary, NC 27518", 30+ days ago,Estimated $75.7K - $95.8K a year
Raleigh NC,Software Engineer,Full Stack Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0BtoZ3lN-PZ8ruS368_AZ808OQZOtJeXtbLlEZargofDChIv-KETTxCXXPeUWsP_-9NgP-9W3f8LwDqzkBvlTWMBykAKDPHohoFrI_3_YaPHrveI2P3CVZVWnT0lQpLk9kzW8CpGdNYs7EslEvqfk_-Ulfqnl4TlUn0KTcKncyh0ClQNYTUe0lya1lwgvikxGeUXm2cs0LxcXLs56AjlQ7Xko5lia2N2ngpQf4ajZHyolQJVYix8m6AOaku4RZGVWaR6FGWGnPuZUy-cs9pdLzgNfB6iUUduvr62m-RSf6Wb-GdghoU03OOJ2vk8pCOgF2yZsmPtUj4BMPFzC3KSs2z3XCBk2FmiCUTvbVZoE5wGKuXcTxenipeWjXiLHY2vtAFuAOp9n4HdMbcPiFWuSmfhvlHRoWGPMAb4MRfIgeMRUqkoFyePUdSOeEeLtnsfVDvTpRTznkmQKJ_3aeiBMRi8TXoEP9DjXc9Dm7D1HADDzRUF06MyTQSB1VrZD1I16oNb2GbQajrvZa-tNjM1erwE8EXWfJ1FxZc6EB4SQ_i90_7QFpjASdZnVysV8Mq8eUTSbDEN85SOLCE7Tuv_5RpP4IMt8yGsoqqQHYZcnbObdADM40CeXj4fsAPo6tliP7tyGsEEgR5Lg%3D%3D%26xkcb%3DSoDw-_M3Wocvvcxe950LbzkdCdPP%26p%3D11%26atk%3D1gj8a8333mru1800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DRaleigh%252BNC%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Dfcfbae906f2ba70c%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj8a832nmru1803%26atk%3D1gj8a8333mru1800%26spon%3D1%26where%3DRaleigh+NC%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Wilson Elser,"Remote in Raleigh, NC", 3 days ago,Estimated $101K - $128K a year
Raleigh NC,Software Engineer,"Software Engineer, OptumInsight Technology - Raleigh, NC or Remote",https://indeed.com/rc/clk?jk=b26d7f2998e5f680&mtk=1gj8a832nmru1803&from=serp,UnitedHealth Group,"Remote in Raleigh, NC 27602", 2 days ago,
Raleigh NC,Software Engineer,Software Test Engineer,https://indeed.com/rc/clk?jk=0370d4dc005ab45b&mtk=1gj8a832nmru1803&from=serp,Ford Motor Company,"Cary, NC 27513", 2 days ago,
Raleigh NC,Software Engineer,Software Engineer,https://indeed.com/rc/clk?jk=0fb1d9b963080982&mtk=1gj8a832nmru1803&from=serp,Cisco Systems,"Research Triangle Park, NC",Just posted,Estimated $119K - $150K a year
Raleigh NC,Software Engineer,Software Developer,https://indeed.com/rc/clk?jk=b4a10ef0941612ef&mtk=1gj8a832nmru1803&from=serp,SAS,"Cary, NC 27513", 1 day ago,Estimated $84.3K - $107K a year
Raleigh NC,Software Engineer,Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0ChYVx_I3yfZ_JDY3EFoivtqvi_stwnZ_kRt8Dowt_l_d1ydueao4NE-oUleRJ4yhj8elzwTRyWuIm8w8usGwf4SuBAFUTl6Fb1Hk7rIwXuX7qikL6gG8Tazi92WxKET5Hjdq2ZKjH-YEvRYPf9Tz7WthsascpZSINbvnZVC30VHZtMTlYtSZg3SZgaQ5EpuVZyx0lytVj-GYVpOqWVlq3nxgKgVpwkQIhEJtyCoS8bwsAERuCY2fGwYq8UTXnIQqFiECuXxX3VPz00zX8sp8nRPbN-Wf4_gI_VwzYuAJInn93C5plohOko70Ca3YwJtWd9zdOBXc0pRNZoxlSAOVZDvEBulxxV_zcWLSsBbeEhpoM1tEynKJQqPkUNynsLFP0U8tPV3xRkAkjH2ogaHP-FOO2B1ZLvk8KzZ9gpaWkyxD1bzcvn7KMMbTj8TrClEH2cjVUHp8QhN1chF_8E2F4P6u8YRlNVAnOrlSemne7kmTV2TRWRXAJVZqaCxHLs5BKnuB9IAsPzTDu1wt4NhnqdIMHlrLiWOvFdkuyqkueUEqvjODVzJG0WWxbub_TFQvlBipzRLwR5VLGKGGKDW7XMxgpKV2S0ocS3A9fL0nkCKABu-ndJmxaqPg7z3IKewCQq47Zwv_NzFoySKOumt-OPTDT4Lzhox8AJj75pNYzI1shmfP2Nqs-J0roMTf-GuhkBZkZiMBWQb7vcp_QJxzk55CwhFUOc3YhqZiZSXMnSX337w87PTnVacrfQWWNFJj6B90rhKSVNMkHMhN3kRqG9OohUDraQ0CP_1LATf0JQ3_UBkpDRTQFyv6Fcc2WbBiYC-9nkSf65hleWkiGQFJv0BT7R74DHjW65VL6dQoh9EW3dy_8oKGJJMT_RfEEbDUPVTw4a_qnPvi1sy3QT6NXNj23Q89a2r34phMTMkxHSFq0nSw-aPkm3vI7WYOyeiqcW94V7H7w9NPOp89Xbu1NtAqBQrKQJLrk85J1SCKtlRa1p9XD49L3rSErxqyChdT0Q2C-PqX5_PkNtRA05J3XR8P4o_2IxARn0qKmdEgITOhQBsk4lFlkwFsGgrV7q2aQ1KK8dIGw3DCVq6WyBvxFa%26xkcb%3DSoBX-_M3Wocvvcxe950ObzkdCdPP%26p%3D16%26atk%3D1gj8a8333mru1800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DRaleigh%252BNC%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D59a7af5256501da3%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj8a832nmru1803%26atk%3D1gj8a8333mru1800%26spon%3D1%26where%3DRaleigh+NC%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Actalent,"Raleigh, NC 27601", 1 day ago,
Raleigh NC,Software Engineer,Software Engineer - Entry Level,https://indeed.com/rc/clk?jk=58e6e0900c2748d4&mtk=1gj8a832nmru1803&from=serp,Vadum,"Raleigh, NC 27606", 15 days ago,
Raleigh NC,Software Engineer,Junior Software Engineer,https://indeed.com/rc/clk?jk=d35234b46eaabb78&prevUrl=https%3A%2F%2Fwww.indeed.com%2Fm%2Fjobs%3Fq%3DSoftware%2BEngineer%26start%3D0%26l%3DRaleigh%2BNC&mtk=1gj8a832nmru1803&from=serp,Mastech Digitals,"Hybrid remote in Durham, NC 27701", 1 day ago,
Raleigh NC,Software Engineer,Junior Software Engineer,https://indeed.com/rc/clk?jk=08278dc01d2771e4&mtk=1gj8a832nmru1803&from=serp,Tek Ninjas,"Durham, NC 27702",Just posted,Estimated $78.4K - $99.3K a year
Raleigh NC,Software Engineer,Junior Software Engineer Supporting Research Team,https://indeed.com/rc/clk?jk=f76ebea3836f571e&mtk=1gj8a832nmru1803&from=serp,"Applied Research Associates, Inc","Remote in Raleigh, NC 27601", 1 day ago,
Raleigh NC,Software Engineer,Software Automation Engineer,https://indeed.com/rc/clk?jk=ef5bab3c904365e6&mtk=1gj8a832nmru1803&from=serp,Hewlett Packard Enterprise,"Durham, NC 27703",Just posted,Estimated $90.8K - $115K a year
Raleigh NC,Software Engineer,Full Stack Web Software Engineer (Hybrid),https://indeed.com/rc/clk?jk=237b623779f41701&mtk=1gj8a832nmru1803&from=serp,BAE Systems,"Hybrid remote in Durham, NC 27703", 30+ days ago,
