title,job_url,company,location,posted_date,salary
"Software Engineering Trainee, Distribution IT – Spring 2023",https://indeed.com/rc/clk?jk=19122797ea753300&mtk=1gj86s0mgi0d3800&from=serp,"Sony Pictures Entertainment, Inc.","Culver City, CA", 30+ days ago,Estimated $91.7K - $116K a year
Software Development Engineer,https://indeed.com/rc/clk?jk=e035d2bce362b456&mtk=1gj86s0mgi0d3800&from=serp,Amazon.com Services LLC,"Remote in Santa Monica, CA 90404", 2 days ago,
"Software Engineering Technical Lead, VP - Hybrid",https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0DmIoLEfx3e5FKWdzPrCZVymN6nI1W4eX3Ta9yHxbrh7dWb_M-60Mc-rA2OvXiwK9xNBwqTbadV5xqiY5MQpfijL2CD_uRUhmvlZmcjB20CEUbDDf88o0TdntobZPVCiLuqE3MgmnA3FrHBJ8TvlM84GJxg-wtCMUQ0dLyaWfXKlHzJ_hKUH5qRfAq0wrZjEcQO2HIvTX5047CU2Jp5Kwbbm6YNF752T3VA9X5ifSHtPrjw-9ZAkrxyTG2QlhOnoJB3VpbR7rcWnoY0-vTSM6I_K0K6DRa6pVIawqycIxHx6H2O1fBpG7JrRG_-git8buhS2crHADamqErDrKhFzVwAQffG7ENoJRp46ZB46O5xseBukg5zJ_wkWRB92mvTJdVMEqYX1lHluzrmSHgyEj_KlycK--sr0KQBdZgfprbpej6nxH04zzc0CClCkgjcttIWN7yq3QMFnsuPHwxmr0Ry_VdnMBGiUo3VX0LHV6a0NX4Z-9UDIih0iM1oX87Bqk2gGgM4lFPJuTDtt7Ma10lJTsZ6TO0cf0h859vTWS1RWm8sDzexr_04nyNWFxGVBdNB_-5O5EePHBmrdDwk36sgtysoFNGBmGDTtUbidPTMdA%3D%3D%26xkcb%3DSoB5-_M3WoF_wPWnsZ0PbzkdCdPP%26p%3D11%26atk%3D1gj86s0mti0d3800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3De5522dd14884477d%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj86s0mgi0d3800%26atk%3D1gj86s0mti0d3800%26spon%3D1%26where%3DLos+Angeles+CA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,MUFG,"Hybrid remote in Monterey Park, CA 91755", 13 days ago,
OTT Video Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0BS0KHJ0QeL06MZfBbq7dZoE-JXyENUoMM5c26IsyTNyiXsP9JZiiobHkVDLYDKziNpPT2TJKbmf6cfsD7oJ6gZ4IIYEnJ6P7bDj8g4Oyoquj-ILiVe7Y3g6WBVdVXclEnLXD8vtsmF4_oTiFSa7_cbBjINNAavtpIdFRAA8xD0w4ZbwxLLx4Cfhpd6b4-U1Iy3o51GVGMvM7qRsY9Sq0-2IO6W07p-_yAApze8Gf8xIUCvxbAwsl3Pqve4XVQZWNrUITbw-jE-c601h-eFIn-u9z9_va02cMHWcEON41oWRgJF2U3CFeu1xkQapG1_nZunboZ3I3GBM5z0M6g1ZaAY2KnCNSeS2coJF4EuuXV-iml3c9C88rO7s1kfTIOXWuEe5Slh6R7zsD3OxC8ya-_Tgc77Io6BNA21xJDXzKo2WwWJ7-zVvgD0Ek3q09sikJnJ-7Fc1u4Q9xLjiCsrhYy1J56BnsPNbjsPIWGLbt4YU7QL5yLdrjZeP0wkgfBYfnptPuQCZz-W6MdLg7nbu2Ete_Bi724Jrik5q16M6000uXeeN7ZqjGtJ%26xkcb%3DSoDk-_M3WoF_wPWnsZ0MbzkdCdPP%26p%3D12%26atk%3D1gj86s0mti0d3800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DLos%252BAngeles%252BCA%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D67a9e3b5d0ae8714%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj86s0mgi0d3800%26atk%3D1gj86s0mti0d3800%26spon%3D1%26where%3DLos+Angeles+CA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,MTG Services,"Remote in Los Angeles, CA", 30+ days ago,
Software Engineer (Apex Legends),https://indeed.com/rc/clk?jk=6e73a8856bda75aa&mtk=1gj86s0mgi0d3800&from=serp,Electronic Arts,"Remote in Los Angeles, CA", 16 days ago,Estimated $91.4K - $116K a year
Software Infrastructure Engineer (Satellites),https://indeed.com/rc/clk?jk=0269dd8e7ab82eef&mtk=1gj86s0mgi0d3800&from=serp,SpaceX,"Los Angeles, CA",Just posted,Estimated $84.4K - $107K a year
Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0CpzDdaQkua3np5pkmj49lKioZwmwxQ-yx5plwbYmV_MxdGy4myQwFZkzq8WPxTh4uz72gfBwJL_EItlWDKjKHtvqE39-vsedhGnLlUmSy25ZPaPyCXeBOKGnvq1pr6dS7zNuq9yDqbw4a-AUz7fb2DNg5Y-TfW6tSzQvtyOHozwEulL1kYbjCJEJCDdMnIhWtOkDcLbhRcdMN7RB7blZjAvZLCSfaPMb3JbETMet13AY3uMHRfZCNuz11sCcrtl65Y1wuSvFtAm_rAepXrvlhEFXysY5d7_tdWo-ZxsmyJAeM7FHE6Y-7QdwvEPyCF6VjGrzjmD8LHz77V1ICaRMJsQ_n9wyOk3EroKRhQ4-0HUDTbQ_uOp88qeber1pzv8q1fFgIkZ1C6so-MCIAfqOh_nNWZpaUU9U7yLVQWkfDCUWhG63UJ8VPG1n4os44t6GKKQRzQ5cb-ekK7cH4xm64ADNpNDZFRxVruJr47vA7xzwuZm0WkCMYr1Bj3qjoOSeQ7lPzlasW_Iq16JIIr5cCYHboiYlFA0sLSOKPkh6ktfRTOYiUiEZZpd-9JTviSjxSOlkfRa0ORuEBU9f-Vuagj01fjImGMbFQ%3D%26xkcb%3DSoCy-_M3WoF_wP2nsZ0IbzkdCdPP%26p%3D15%26atk%3D1gj86s0mti0d3800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DLos%252BAngeles%252BCA%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D86690b1b2f6bac5c%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj86s0mgi0d3800%26atk%3D1gj86s0mti0d3800%26spon%3D1%26where%3DLos+Angeles+CA%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Robert Half,"Culver City, CA", 30+ days ago,
Application Software Engineer,https://indeed.com/rc/clk?jk=1385d0133a7336be&mtk=1gj86s0mgi0d3800&from=serp,SpaceX,"Hawthorne, CA 90250", 1 day ago,Estimated $94.9K - $120K a year
Software Engineer Level II,https://indeed.com/rc/clk?jk=279fc67cb24343c7&mtk=1gj86s0mgi0d3800&from=serp,JPL/NASA,"Pasadena, CA 91109", 30+ days ago,Estimated $103K - $131K a year
Software Engineer I,https://indeed.com/rc/clk?jk=11790542655a256e&mtk=1gj86s0mgi0d3800&from=serp,Disney Media & Entertainment Distribution,"Glendale, CA", 30+ days ago,Estimated $91.7K - $116K a year
