location_category,job_title_category,title,job_url,company,location,posted_date,salary
Chicago IL,Software Engineer,Part-Time Student-Software Engineer-Remote,https://indeed.com/rc/clk?jk=01d17703a5c65340&mtk=1gj8a6r3ci5cn800&from=serp,John Deere,"Remote in Chicago, IL 60607",Today,Estimated $77.8K - $98.5K a year
Chicago IL,Software Engineer,Assistant Software Engineer,https://indeed.com/rc/clk?jk=2eb925b5f77eecdb&mtk=1gj8a6r3ci5cn800&from=serp,Argonne National Laboratory,"Lemont, IL 60439", 30+ days ago,Estimated $78.5K - $99.4K a year
Chicago IL,Software Engineer,Software Development Engineer I,https://indeed.com/rc/clk?jk=f5558c2570b994be&mtk=1gj8a6r3ci5cn800&from=serp,American Express Global Business Travel,"Chicago, IL", 9 days ago,
Chicago IL,Software Engineer,Senior Software Engineer (Remote),https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0DLHxMcwhdrMGdjHv-757c0WW0vMLIg5z0BQE_o82uTzVHB9tWMeifMgQ9xsoFXH-mK_I3FBLXdAz4KvWuf3jkDNxcmOyW31a07NWnbNo_jQqJau3qviZr7rqYXRTg_o4CPy4g_ay5KXpOBRQuXXvOUzReT6Hr1ejE5mKJDMZ0dwenLE9vtIMssuWPUocf7g8DVw-0sEDfeFpP-vq2rve4plnh7JmiHPCvNZf2o5gC9izlzNSo0BIfYhCYPYGDxtSXcGpw2fttVu3gNOlJCbBlnXuVDdVepTytgCpw7PtcbSc1FW37UDP2Fp9-UGKKYeUHz6Uuw6TGENkKT3l5-gJqjc8ARm89NNJ7tF6QhRSjgYR4NAJ3HInQlpjOGZ77jwyl3p_PTD34mYGGugjdJz6Ha7fRe3b-SAkVfKBzu3Kt-LTVJMcHi2BCK_s2pUS1WWQP9dqWFQsbPpGCD2nF5HHfOxAOqMom88rtHV4Er-Vyv0ifHhzRtvkO6n1qL8D1A6Vzvjgg0qRuska8ukSIS4nTCuH75rHJKjZo8a9vv-yoPcDZloErVLw2W_LAAUoU24sc%3D%26xkcb%3DSoAw-_M3WocUvAQldB0JbzkdCdPP%26p%3D12%26atk%3D1gj8a6r3qi5cn800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DChicago%252BIL%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Dd0d8c7305e9131f9%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj8a6r3ci5cn800%26atk%3D1gj8a6r3qi5cn800%26spon%3D1%26where%3DChicago+IL%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Archdiocese of Chicago,"Remote in Chicago, IL 60611", 30+ days ago,
Chicago IL,Software Engineer,Software Engineer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0BZQy82zq9PNGbtG6oKpjX_-wKKNW7hI4YpCQTfgVB2GHBYkdxw_GCzkzPq7CbwcVaqThmG4K1kOj4FyCHwe1ZLHSUMvinJEjKxxCsyXP5Cfa2mcNm2_RtlLBuI5cw8xzXA3ACz3ePK-ms1xetFU8IlIaTP1aoI3C5X44h2SQN6TlS9UUXZGyfg7coLVYDAlrJyH1Eh2PZ31QvvOSishUKhuFSenlmt_vnmf8QPfMhS6RsGQ_0o73Wi3PvITcYCIpSAvTi8cR6O39I0H01FfFVNAKkLfOHLC1QbTSPshzUhM-6EyHed4DdyqqZAJ7tUwU2v_qa7n20LY16ahVbi-BG0-t4l55kGDl2tiDpMuAX8V08FUPtyogsWOwS8B5rCaQHxQ09-T4oPfFkrocWPaQ79VSdxqaOL52f67liBI3qyl_JQEm5CX6AG-vbBTuwC9-L8zsUNCfm5EuN3LQRxmF6_ODoJUmD0sOX2vkndf011gFBBBBRa1cfI%26xkcb%3DSoCE-_M3WocUvAQldB0IbzkdCdPP%26p%3D13%26atk%3D1gj8a6r3qi5cn800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DChicago%252BIL%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Dac357af8564c8b2e%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj8a6r3ci5cn800%26atk%3D1gj8a6r3qi5cn800%26spon%3D1%26where%3DChicago+IL%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,tastyworks,"Remote in Chicago, IL", 30+ days ago,Estimated $102K - $129K a year
Chicago IL,Software Engineer,"Principal Associate, Full Stack Engineer (Remote - Eligible)",https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0C3j_zLGvpMLCdiZ0WC46XqVTA1VMZzOzKXPhAXwYlrNb9EbKZEg8x0tL4Jn_n-27XfDEaJSWUV2qArBNIBzIASd9W56nWThP0ViVsvWOE0nJHyjc_IwgT3kb8reEmK8bwnH--QC78TqUhL5garA_w8DYGDiNoyuv3eVp-GrA-jiP34ECH-lg4Ya4xRJ8R-rzT2EvzjBksQTaA5-ubrYbi1n-MV0cdDxEERpQgZpsPAEfPRSjFeds6DlQaZdpBfFD_Tqt86cRHdlZSAeWyPr2SJnN-n118KhI0RCumKPJ0HRq_Eb8jTfr5SnIN4kbkUwK9qRfrIF64HCpQWKkPy1kOwkVVMhKK2Uj02dNISzGy7YwEvDD1GZZkrWEtjq44d45itmhjlTP7DV7-c1JY2rhP91aisYNhgMa8JFvwdtVitcqV7ElXRK9GBLxVcT3EM2jYltH1brjX4dD4X3hfUxaEii3gwx_lYRwQ%3D%26xkcb%3DSoAK-_M3WocUvAQldB0PbzkdCdPP%26p%3D14%26atk%3D1gj8a6r3qi5cn800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D5be61d1780975a80%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj8a6r3ci5cn800%26atk%3D1gj8a6r3qi5cn800%26spon%3D1%26where%3DChicago+IL%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Capital One,"Remote in Chicago, IL 60695", 3 days ago,
Chicago IL,Software Engineer,Software Developer - Java,https://indeed.com/rc/clk?jk=e1189b5b246f0bbc&mtk=1gj8a6r3ci5cn800&from=serp,Capgemini,"Des Plaines, IL", 9 days ago,Estimated $111K - $141K a year
Chicago IL,Software Engineer,"Senior Software Engineer, Backend (Remote-eligible)",https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0C3j_zLGvpMLCdiZ0WC46XqVTA1VMZzOzKXPhAXwYlrNb9EbKZEg8x0tL4Jn_n-27Utv_BQajPs-7JIIhgXAM83UrCUA3Wavh8EzWXOFeAuNGzJXAAIjfYPNR3mv2lasEztIUQnHHuOQWzq0BcrQh0uTS2gmrjDcOkKKgzvVvqfXyJp0bBEbqbrVMVsYr6saNMt51DwcNyc-tQc9KZrDtBYP-Q9m6U_FGt6_2XmOcnZAzm9Ti7Lqj063o3h7rS5jm7HWQDmqoLsxbaQbi4yapN6XbW7unPibsoAbFQwHW_rnRbuUitn0bqggAKp-Y6LzO4qssqJqobCZSCM9x64ODHV2x4MjsYcHIolFbx-hXZ9F4o0x1VGw3Huld-eHXaGm253iCaGjY7BnXnyXF8OgSAFttu7soexTvbVMqVehWtvhUlBFcSoeyy_fWd6R3aYwocH0F52l8RcO0Ge5dXYiD8Gv91HA_y-lOC0rwTeMHJg3g%3D%3D%26xkcb%3DSoBc-_M3WocUvAwldB0LbzkdCdPP%26p%3D16%26atk%3D1gj8a6r3qi5cn800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Da922efc1f7fda443%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj8a6r3ci5cn800%26atk%3D1gj8a6r3qi5cn800%26spon%3D1%26where%3DChicago+IL%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Capital One,"Remote in Chicago, IL 60695", 3 days ago,
Chicago IL,Software Engineer,AWS DevOps Engineer,https://indeed.com/rc/clk?jk=f999e0a75b126830&mtk=1gj8a6r3ci5cn800&from=serp,"JPMorgan Chase Bank, N.A.","Chicago, IL", 1 day ago,
Chicago IL,Software Engineer,Software Engineer,https://indeed.com/rc/clk?jk=09021e6cec7a9669&mtk=1gj8a6r3ci5cn800&from=serp,Eaton,"Hybrid remote in Woodridge, IL", 13 days ago,
