title,job_url,company,location,posted_date,salary
"Sr. Software Engineer - Broomfield, CO, Hybrid",https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0BGKj2dVRoMy2japSZrYRM8IJNi6D13enLCCRY5KIhxigb2ni9doBXKvQE18bqfvQKwaA3fedaMNtGvyBP-az3mx99og4Z19FtlFnjyDW8Vhn1-UZRWdNLgZYqNQMK81SHtBHS5LE2pDobMU3crYY6HpDLgV7INvzSVrhiPd83cTPWxtSK2ruUnZJJzV1IXTMJl39s9Jbp5pItvCb31rmIYCuALtFVmYQsZ1EsNf72AkvyCU7Vhdv6IYSGB8ZMLgYjNKORP7c1OIbVtzNAy_fU9QGVhmxNG4rOhKvaQW3c7szomu_KDAi2i5lA_h-9gONa-NSUGuJvF3od6kRHs6qZ6D9bOB_QzWORaAfov1CqnuA5NHKvTenYIXVmZEH9MA1PNx1dBgUiIA-ZVtVCn7cx_sVjqct385335WepcPEYpPtAGGq9qlhHL-O8evTvqJfRyJ9BOyf1WR20gfGfnh3EDuFkJ6qfKEHjqIIkm8yYMQYhaZT0atcQEzJpEVoe8wWs3FmrZdN9y0bqrz1QD7oVJiqQZWUhhNXP2_RcwI8mheuFcDLGdf_uzqZzf4Imhoj3tH50BQO2D6Pf7HWOPzATyqdsyIN1kO8HixmAgAQKIr-UMkwlI0U-emcuA3unWedixnA1Y2jjEnRGg2OGQdm_iqemi5hlmBWIGPAlueI2jTYgMB2oRRGvmvvdbRoK4gejzFo1NfkOLdbLhQVLsaW7Ix-42Czs1xygst7r3hIV8BB2qHUxAP3onjIXR-8XeF_Yf5tuHKsqs81Tgjxu5M9wGKSchq34bRbWb0gJ5V0iv5St5nzhg2YrBjS_7JIbeR7Wa1QbVBkv_wvln-hXq6C7g06D4wzHuFKs8yFLySYp0rgS1eq7t3UHAZKKFOWDjb-DIC7OrbdZVk5ESJ2XRCin26PVj9U-327-yej-D_pnGqESxRvb7-gpgFG69g4HBWVgc28jfuZEJCBJrvLx_U1FUvi3vxjMjpH44iDh9Vkfj_srQrmq0VUcNEwlAOUDSbbeReL3YC6P-luqVyCLB9rztuegtEq2hlgFbSlxRCriQ364KZP8aMIVB8v4pMIQuYA3-8RPbYzHQgTVinVsegvY9sgf_NmkVIEkhLbd2zron6VbLbGk-E5WSyoIV7A1TceLjJv6PIyIjjgknjnEarGzJk1tm2GvmnV2JUOtKyikEJDP5KhWhFD898qc3Y5_4Zj4EXVrHW24LYp_7en84qwmDa8eWhkIDNxVOUbtX26SzdDuanOXLxQv6LfhbW_S1Kh-dRoWBwXAduEfziKiXz2Jj%26xkcb%3DSoDE-_M3WoG47DWk0J0ObzkdCdPP%26p%3D9%26atk%3D1gj87dpkgkmds800%26prforceGroups%3D%26from%3Dserp&mclk=jk%3Da21d00d6f18ce250%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj87dpk4kmds800%26atk%3D1gj87dpkgkmds800%26spon%3D1%26where%3DDenver+CO%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Lumen,"Broomfield, CO 80021", 13 days ago,
BI Developer,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0CD_jUR8jtLKLZ6z7CkJTLaCT-uGus8X5A02V2EByuXt0dhjnF6dDkDRkoRah2ZuL1QryNOE5CygQ4_Gl6iYY6IkzcKnOpdusEzOuI27LSJJVCUvZVZ4mEpUHqQnYRF5nvqbfvWkbPYCuLuhgDeo_sgTUJB9G6H53HeggIQAnph6BJHDs3IfVrPw3IJT4MLtbFP6fquwy7ET-r3VxFLUMQWwhLvquOQupNdZjEqPZ0qY-YgTAy26c0nrT-c1KtHdFnJUQeqF1f_K13EBMay0H0WhEQyaL1mNwI6oLwTS5IelP14aUN-nbme2kiM9fzNeIScLFG0n_ydCYSf19Pwhb5l5BEBC-VC10Dl9x9k0uheF1RMqcJ3iahbszsyfEPcd7wAHmCTVH_fp7Tv3Vlz4C_Q0COCKgNaCrCLpkRRQOcH2C03zpVCfMHE3uJHZp23GTrKJJxndOJzQa9QaeCZ_vwE-FDQBbFedYzmL_HGfBJGlos5pwFJoLnagVu8knJH57x_MSDR-q9ssozWITc-56I2M1l2mhVy6-KXzYULPECLonbWgCjZfueEK-q5H1t2ux3X-K9J-uBpEQ4rcYAVQRnXYSQHrwoWBCkskXX8Goltvw%3D%3D%26xkcb%3DSoAm-_M3WoG47D2k0J0LbzkdCdPP%26p%3D10%26atk%3D1gj87dpkgkmds800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DDenver%252BCO%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D7371c01ad6c93bf4%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj87dpk4kmds800%26atk%3D1gj87dpkgkmds800%26spon%3D1%26where%3DDenver+CO%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,KW,United States, 30+ days ago,Estimated $88.1K - $112K a year
Software Engineer 1,https://indeed.com/rc/clk?jk=8a3f5fe8ae92940d&mtk=1gj87dpk4kmds800&from=serp,"Garmin International, Inc.","Boulder, CO 80301+1 location", 30+ days ago,Estimated $72.5K - $91.7K a year
Software Engineer Associate - Early Career,https://indeed.com/rc/clk?jk=a6114398ea0aab21&mtk=1gj87dpk4kmds800&from=serp,Sikorsky Aircraft Corporation,"Remote in Littleton, CO+2 locations", 14 days ago,
Junior Python Software Engineer,https://indeed.com/rc/clk?jk=407dc4d070dacd70&mtk=1gj87dpk4kmds800&from=serp,"Ascend Analytics, LLC","Boulder, CO 80302", 1 day ago,
"Application Software Developer, Office of Information Technology",https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0A_7IDQnJu-cvcYqVfqE9WD3on_qz6Zi04gbjnbz4IRl6oHxC3ajSweoSMCo60B-CHhYURnk5efcbZq7E00AX_vEPF6OfAv68nI25ilKbBQT_lERCV4J_DsttYeLyh1JYvQhGVBM29T7MdT2rV9N2l2D4DqwznX7kEidGsvGUU7E2hLNZWUrLEFWVtPSKYGCnUQKZEb32PRWelZp-gV96s7NyHbMRXAlGpTzihz_aIJHpevjqBcrGzb3Ftzf_P-dxIp9CGofYE_HnAtdFyHnpALxxlcHbGxyyTWnDhwV8VTgDfb4TBQoLHZRkZe6z23IuAVUajiDbP2DAEdrc3eH76SS70u6F8rQDqSc6WQ0-J2FUEtgaTZ8pTHaM3e6Ztea-1iQeW0gQk4ASEPwvYCrr_kQRUf-pdKjhUPsECfLq-ZUyzju71J-WsP4eq2BRP3nH2XonF-CXnWdEIQvohck3hkQkT4nqeszxd3hvx-rPOyD-bWBTDh4VnKJavQKoRYNbd9GJQxv5zMj8SGV-VD9F3RqtJSACSj_jJDc60r7R9rZGv17HA16dsQYqh7qTU7YlHe9ZYukKcfopQYWhDAJC7BulVt1XfkeZo%3D%26xkcb%3DSoA1-_M3WoG47D2k0J0PbzkdCdPP%26p%3D14%26atk%3D1gj87dpkgkmds800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DDenver%252BCO%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D57636aef12859101%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj87dpk4kmds800%26atk%3D1gj87dpkgkmds800%26spon%3D1%26where%3DDenver+CO%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,GENERIS TEK STAFFING PRIVATE LIMITED,"Denver, CO", 3 days ago,
Web (JavaScript) Developer Apprentice,https://indeed.com/rc/clk?jk=0a8c53c3535c1043&mtk=1gj87dpk4kmds800&from=serp,Inspiring Applications,"Remote in Boulder, CO", 30+ days ago,
Software Engineer - Undergrad New College Grad - Multiple Locations - 2023,https://indeed.com/rc/clk?jk=f79dfdc70c898c7d&mtk=1gj87dpk4kmds800&from=serp,Visa,"Highlands Ranch, CO+2 locations", 30+ days ago,Estimated $77.6K - $98.2K a year
Software Engineer I,https://indeed.com/m/app/vjredirect?dest=https%3A%2F%2Fwww.indeed.com%2Fpagead%2Fclk%3Fmo%3Dr%26ad%3D-6NYlbfkN0CxC68sOexSPjE2gOKCkDYPlyqO9DIET2p9UpsoSrsnc1Y84YaOU8h9St-p76QYHrXO1GnFfGqqceAXxL0Q_6X0Lo3FsC0AQhBxwqGQMrkMeyxMwtBYc_xCM0n2Joy5__BGzfiris041xKpHW8XW7EO9EKOMdpaX4dUzyz9ciJh15Th2bRKIgT7rHSpERd_euP-qi8Nwjm6jVKdrSmYME_NYllVg8lFjkL0ZePWOXSUzO7-emwee_iEZAhD56ZxH_m4j7O8z4vwSA5WDzxnokYa_WaMdmM0yivLYcm8LRh-7rchLuuTNp-2lIWHL2sFkqXW9jueJNGhf3TcdXwFhJV17muYu2P8ApSQKX4M_QLLe97zy5lqIIWzJZsK7Bc3U2lp2ioOyMetV-GHW6elG_TD7cUzJI0wc7dkl69gQjRKTxtOjNKZ5TvokiPMnjJ1b4-Km4Na-uFArA_k4lxJVdoVGlxrmCQqe5vRhNCWQ1a0vEQVC_q7A0OAbhdCM2gEVQHwsknd5AszLK4gMzQUZGZFIaA4Boju70zMOZJI2LyQ1g%3D%3D%26xkcb%3DSoAc-_M3WoG47CWk0J0KbzkdCdPP%26p%3D17%26atk%3D1gj87dpkgkmds800%26prevUrl%3Dhttps%253A%252F%252Fwww.indeed.com%252Fm%252Fjobs%253Fq%253DSoftware%252BEngineer%2526start%253D0%2526l%253DDenver%252BCO%26prforceGroups%3D%26from%3Dserp&mclk=jk%3D73777bec5ba83176%26rd%3DVwIPTVJ1cTn5AN7Q-tSqGRXGNe2wB2UYx73qSczFnGU%26what%3DSoftware+Engineer%26mobtk%3D1gj87dpk4kmds800%26atk%3D1gj87dpkgkmds800%26spon%3D1%26where%3DDenver+CO%26jt%3D%26dupclk%3D0%26radius%3D25%26explvl%3D,Ophir Corporation,"Littleton, CO 80127", 30+ days ago,
Software Systems & Development Engineer (Early Career),https://indeed.com/rc/clk?jk=d54646fad38ec7c1&mtk=1gj87dpk4kmds800&from=serp,LOCKHEED MARTIN CORPORATION,"Littleton, CO 80125+4 locations", 14 days ago,
